time (s),acc (m/s2)
3.095,0.0049
3.1,0.0049
3.105,0.0049
3.11,0.0049
3.115,0.0049
3.12,0.0049
3.125,0.0049
3.13,0.0049
3.135,0.0049
3.14,0.0049
3.145,0.0049
3.15,0.0049
3.155,0.0049
3.16,0.0049
3.165,0.0049
3.17,0.0049
3.175,0.0049
3.18,0.0049
3.185,0.0049
3.19,0.0049
3.195,0.0049
3.2,0.0049
3.205,0.0049
3.21,0.0049
3.215,0.0049
3.22,0.0049
3.225,0.0049
3.23,0.0049
3.235,0.0049
3.24,0.0049
3.245,0.0049
3.25,0.0049
3.255,0.0049
3.26,0.0049
3.265,0.0049
3.27,0.0049
3.275,0.0049
3.28,0.0049
3.285,0.0049
3.29,0.0049
3.295,0.0049
3.3,0.0049
3.305,0.0049
3.31,0.0049
3.315,0.0049
3.32,0.0049
3.325,0.0049
3.33,0.0049
3.335,0.0049
3.34,0.0049
3.345,0.0049
3.35,0.0049
3.355,0.0049
3.36,0.0049
3.365,0.0049
3.37,0.0049
3.375,0.0049
3.38,0.0049
3.385,0.0049
3.39,0.0049
3.395,0.0049
3.4,0.0049
3.405,0.0049
3.41,0.0049
3.415,0.0049
3.42,0.00588
3.425,0.00588
3.43,0.00588
3.435,0.00686
3.44,0.00686
3.445,0.00686
3.45,0.00784
3.455,0.00784
3.46,0.00784
3.465,0.00882
3.47,0.00882
3.475,0.00882
3.48,0.00882
3.485,0.0098
3.49,0.00882
3.495,0.00882
3.5,0.00882
3.505,0.00882
3.51,0.00784
3.515,0.00784
3.52,0.00784
3.525,0.00686
3.53,0.00686
3.535,0.00686
3.54,0.00588
3.545,0.00588
3.55,0.00588
3.555,0.0049
3.56,0.0049
3.565,0.0049
3.57,0.0049
3.575,0.0049
3.58,0.0049
3.585,0.0049
3.59,0.0049
3.595,0.0049
3.6,0.0049
3.605,0.0049
3.61,0.0049
3.615,0.0049
3.62,0.0049
3.625,0.0049
3.63,0.0049
3.635,0.0049
3.64,0.0049
3.645,0.0049
3.65,0.0049
3.655,0.0049
3.66,0.0049
3.665,0.0049
3.67,0.0049
3.675,0.0049
3.68,0.0049
3.685,0.0049
3.69,0.0049
3.695,0.0049
3.7,0.0049
3.705,0.0049
3.71,0.0049
3.715,0.0049
3.72,0.0049
3.725,0.0049
3.73,0.0049
3.735,0.0049
3.74,0.00588
3.745,0.00588
3.75,0.00588
3.755,0.00686
3.76,0.00686
3.765,0.00686
3.77,0.00784
3.775,0.00784
3.78,0.00784
3.785,0.00882
3.79,0.00882
3.795,0.00882
3.8,0.00882
3.805,0.0098
3.81,0.00882
3.815,0.00882
3.82,0.00882
3.825,0.00882
3.83,0.00784
3.835,0.00784
3.84,0.00784
3.845,0.00686
3.85,0.00686
3.855,0.00686
3.86,0.00588
3.865,0.00588
3.87,0.00588
3.875,0.0049
3.88,0.0049
3.885,0.0049
3.89,0.0049
3.895,0.0049
3.9,0.0049
3.905,0.0049
3.91,0.0049
3.915,0.0049
3.92,0.0049
3.925,0.0049
3.93,0.0049
3.935,0.0049
3.94,0.0049
3.945,0.0049
3.95,0.0049
3.955,0.0049
3.96,0.0049
3.965,0.0049
3.97,0
3.975,0.0049
3.98,0.0049
3.985,0.0049
3.99,0.0049
3.995,0.0049
4,0.0049
4.005,0.0049
4.01,0.0049
4.015,0.0049
4.02,0.0049
4.025,0.0049
4.03,0.0049
4.035,0.0049
4.04,0.0049
4.045,0.0049
4.05,0.0049
4.055,0.0049
4.06,0.0049
4.065,0.00392
4.07,0.00392
4.075,0.00392
4.08,0.00294
4.085,0.00294
4.09,0.00294
4.095,0.00196
4.1,0.00196
4.105,0.00196
4.11,0.00196
4.115,0.00098
4.12,0.00098
4.125,0.00098
4.13,0
4.135,0
4.14,0
4.145,0.00098
4.15,0.00098
4.155,0.00098
4.16,0.00196
4.165,0.00196
4.17,0.00196
4.175,0.00196
4.18,0.00294
4.185,0.00294
4.19,0.00294
4.195,0.00392
4.2,0.00392
4.205,0.00392
4.21,0.0049
4.215,0.0049
4.22,0.0049
4.225,0.0049
4.23,0.0049
4.235,0.0049
4.24,0.0049
4.245,0.0049
4.25,0.0049
4.255,0.0049
4.26,0.0049
4.265,0.0049
4.27,0.0049
4.275,0.0049
4.28,0.0049
4.285,0.0049
4.29,0.0049
4.295,0.0049
4.3,0.0049
4.305,0.0049
4.31,0.0049
4.315,0.0049
4.32,0.0049
4.325,0.0049
4.33,0.0049
4.335,0.0049
4.34,0.0049
4.345,0.0049
4.35,0.0049
4.355,0.0049
4.36,0.0049
4.365,0.0049
4.37,0.0049
4.375,0.0049
4.38,0.0049
4.385,0.00392
4.39,0.00392
4.395,0.00392
4.4,0.00294
4.405,0.00294
4.41,0.00294
4.415,0.00196
4.42,0.00196
4.425,0.00196
4.43,0.00196
4.435,0.00098
4.44,0.00098
4.445,0.00098
4.45,0
4.455,0
4.46,0
4.465,0.00098
4.47,0.00098
4.475,0.00098
4.48,0.00196
4.485,0.00196
4.49,0.00196
4.495,0.00196
4.5,0.00294
4.505,0.00294
4.51,0.00294
4.515,0.00392
4.52,0.00392
4.525,0.00392
4.53,0.0049
4.535,0.0049
